Timestamp                       Thread     Type        Activity             PID    TTL
2026-04-29 16:43:48.213776+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IOSKYNET sym=0xffffff9d_6c7da128 meta=0xffffff80_ae6d9c0
2026-04-29 16:43:48.213779+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IOSKYNET ret=0xffffffa7_6ce8300
2026-04-29 16:43:48.225865+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IOSKYNET ret=0xffffffa7_6ce8300
2026-04-29 16:43:48.225868+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_SNP_WP ret=0xffffffa7_6ce8380 vptr=0xffffff80_ae64a78
2026-04-29 16:43:48.238131+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_SNP_WP ret=0xffffffa7_6ce8380 vptr=0xffffff80_ae64a78
2026-04-29 16:43:48.238133+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE EXIT ret=0x0_0 (preserves ALLOC_NULL)
2026-04-29 16:43:48.250181+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE EXIT ret=0x0_0 (preserves ALLOC_NULL)
2026-04-29 16:43:48.250182+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPACKET FINAL branch=ALLOC_NULL this=0xffffff98_9ffabd00 desc=0xffffff90_26e7f260 ret=0xe00002bd
2026-04-29 16:43:48.263771+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPACKET FINAL branch=ALLOC_NULL this=0xffffff98_9ffabd00 desc=0xffffff90_26e7f260 ret=0xe00002bd
2026-04-29 16:43:48.263773+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] initWithName=0 (type=1) slots: name=0xffffff9d_6d6131a0 thCall=0xffffffa7_6d9f400 segStats=0xffffffab_d2cbda00 lock1=0xffffff9d_6c002670 lock2=0xffffff9d_6c002730 owner=0xffffffbe_a5808000 pbufpool=0xffffff9d_6dea0180 arr1=0xffffffa2_388cfcf0 arr2=0xffffffa2_389696d0 typeCache=1 flagsCache=0x1 singleSeg=0 disposed=0
2026-04-29 16:43:48.270080+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] initWithName=0 (type=1) slots: name=0xffffff9d_6d6131a0 thCall=0xffffffa7_6d9f400 segStats=0xffffffab_d2cbda00 lock1=0xffffff9d_6c002670 lock2=0xffffff9d_6c002730 owner=0xffffffbe_a5808000 pbufpool=0xffffff9d_6dea0180 arr1=0xffffffa2_388cfcf0 arr2=0xffffffa2_389696d0 typeCache=1 flagsCache=0x1 singleSeg=0 disposed=0
2026-04-29 16:43:48.270084+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] FINAL branch=INIT_FALSE_POST_OSARRAY preRelease pool=0xffffff98_9ffabd00 pbufpool=0xffffff9d_6dea0180 owner=0xffffffbe_a5808000 arr1=0xffffffa2_388cfcf0 arr2=0xffffffa2_389696d0 disposed=0
2026-04-29 16:43:48.299431+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] FINAL branch=INIT_FALSE_POST_OSARRAY preRelease pool=0xffffff98_9ffabd00 pbufpool=0xffffff9d_6dea0180 owner=0xffffffbe_a5808000 arr1=0xffffffa2_388cfcf0 arr2=0xffffffa2_389696d0 disposed=0
2026-04-29 16:43:48.299452+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] FAIL: initWithName returned false; pool released to NULL
2026-04-29 16:43:48.313802+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] FAIL: initWithName returned false; pool released to NULL
2026-04-29 16:43:48.313803+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] FINAL branch=INIT_FALSE_POST_OSARRAY return=0x0_0
2026-04-29 16:43:48.328205+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-RX] FINAL branch=INIT_FALSE_POST_OSARRAY return=0x0_0
2026-04-29 16:46:03.289006+0300 0x2d74     Default     0x0                  1391   0    log: [com.apple.log:] log run noninteractively, parent: 1390 (sudo), args: 'log' 'show' '--predicate' '(eventMessage CONTAINS "NEWPKT_PROBE") OR (eventMessage CONTAINS "NEWPACKET FINAL") OR (eventMessage CONTAINS "PACKETPOOL[")' '--last' '1h'
